case_id,family_id,target_service,target_metric,alert_service,alert_metric,maximum_change_service,maximum_change_metric,maximum_change_peak_residual_z,earliest_abnormal_service,earliest_abnormal_metric,earliest_abnormal_residual_z,change_order_pairs,change_order_offsets,retrieval_service_text,retrieval_line_text
S01_ad_high_cpu_run_01,S01_ad_high_cpu,ad,cpu_usage,ad,cpu_usage,ad,cpu_usage,9313.30119588,ad,cpu_usage,580.876704666,ad/cpu_usage;cart/request_count;frontend/request_count;product-catalog/request_count;ad/request_count,-9.5m;-9.5m;-9.5m;-9.5m;-9.5m,incident_id S01_ad_high_cpu_run_01 family_id S01_ad_high_cpu region us slot_top_service ad slot_top_metric cpu_usage slot_top_delta_pct +111288.52% slot_top_residual_z 9313.30 change_start_service ad change_start_metric cpu_usage change_start_offset -9.5m change_start_delta_pct +6941.14% change_start_residual_z 580.88 sequence_rank1_service ad sequence_rank1_metric cpu_usage sequence_rank1_offset -9.5m sequence_rank2_service cart sequence_rank2_metric request_count sequence_rank2_offset -9.5m sequence_rank3_service frontend sequence_rank3_metric request_count sequence_rank3_offset -9.5m sequence_rank4_service product-catalog sequence_rank4_metric request_count sequence_rank4_offset -9.5m sequence_rank5_service ad sequence_rank5_metric request_count sequence_rank5_offset -9.5m slot_rank1_service ad slot_rank1_metric cpu_usage slot_rank2_service recommendation slot_rank2_metric latency_p95 slot_rank3_service ad slot_rank3_metric latency_p95 slot_rank4_service email slot_rank4_metric latency_p95 slot_rank5_service product-catalog slot_rank5_metric latency_p95,rank 1 service ad metric cpu_usage earliest_residual_z 580.88 peak_residual_z 9313.30 rank 2 service cart metric request_count earliest_residual_z -0.44 peak_residual_z 2.63 rank 3 service frontend metric request_count earliest_residual_z -0.45 peak_residual_z 2.48 rank 4 service product-catalog metric request_count earliest_residual_z -0.44 peak_residual_z 2.22 rank 5 service ad metric request_count earliest_residual_z -0.44 peak_residual_z 2.61
S01_ad_high_cpu_run_02,S01_ad_high_cpu,ad,cpu_usage,ad,cpu_usage,ad,cpu_usage,9957.32246229,ad,cpu_usage,2101.67727624,kafka/cpu_usage;frontend/request_count;cart/request_count;ad/request_count;recommendation/request_count,-9.3m;-9.3m;-9.3m;-9.3m;-9.3m,incident_id S01_ad_high_cpu_run_02 family_id S01_ad_high_cpu region us slot_top_service ad slot_top_metric cpu_usage slot_top_delta_pct +109393.35% slot_top_residual_z 9957.32 change_start_service ad change_start_metric cpu_usage change_start_offset -9.2m change_start_delta_pct +23089.49% change_start_residual_z 2101.68 sequence_rank1_service kafka sequence_rank1_metric cpu_usage sequence_rank1_offset -9.3m sequence_rank2_service frontend sequence_rank2_metric request_count sequence_rank2_offset -9.3m sequence_rank3_service cart sequence_rank3_metric request_count sequence_rank3_offset -9.3m sequence_rank4_service ad sequence_rank4_metric request_count sequence_rank4_offset -9.3m sequence_rank5_service recommendation sequence_rank5_metric request_count sequence_rank5_offset -9.3m slot_rank1_service ad slot_rank1_metric cpu_usage slot_rank2_service product-catalog slot_rank2_metric latency_p95 slot_rank3_service recommendation slot_rank3_metric latency_p95 slot_rank4_service cart slot_rank4_metric latency_p95 slot_rank5_service email slot_rank5_metric latency_p95,rank 1 service kafka metric cpu_usage earliest_residual_z 3.75 peak_residual_z 4.08 rank 2 service frontend metric request_count earliest_residual_z -0.44 peak_residual_z 2.68 rank 3 service cart metric request_count earliest_residual_z -0.44 peak_residual_z 2.67 rank 4 service ad metric request_count earliest_residual_z -0.44 peak_residual_z 2.68 rank 5 service recommendation metric request_count earliest_residual_z -0.44 peak_residual_z 2.66
S01_ad_high_cpu_run_03,S01_ad_high_cpu,ad,cpu_usage,ad,cpu_usage,ad,cpu_usage,19382.0430996,ad,cpu_usage,3721.85707505,cart/request_count;frontend/request_count;recommendation/request_count;ad/request_count;email/request_count,-9.3m;-9.3m;-9.3m;-9.3m;-9.3m,incident_id S01_ad_high_cpu_run_03 family_id S01_ad_high_cpu region us slot_top_service ad slot_top_metric cpu_usage slot_top_delta_pct +118621.95% slot_top_residual_z 19382.04 change_start_service ad change_start_metric cpu_usage change_start_offset -9.2m change_start_delta_pct +22778.50% change_start_residual_z 3721.86 sequence_rank1_service cart sequence_rank1_metric request_count sequence_rank1_offset -9.3m sequence_rank2_service frontend sequence_rank2_metric request_count sequence_rank2_offset -9.3m sequence_rank3_service recommendation sequence_rank3_metric request_count sequence_rank3_offset -9.3m sequence_rank4_service ad sequence_rank4_metric request_count sequence_rank4_offset -9.3m sequence_rank5_service email sequence_rank5_metric request_count sequence_rank5_offset -9.3m slot_rank1_service ad slot_rank1_metric cpu_usage slot_rank2_service recommendation slot_rank2_metric latency_p95 slot_rank3_service ad slot_rank3_metric latency_p95 slot_rank4_service product-catalog slot_rank4_metric latency_p95 slot_rank5_service cart slot_rank5_metric latency_p95,rank 1 service cart metric request_count earliest_residual_z -0.43 peak_residual_z 2.75 rank 2 service frontend metric request_count earliest_residual_z -0.43 peak_residual_z 2.49 rank 3 service recommendation metric request_count earliest_residual_z -0.43 peak_residual_z 2.53 rank 4 service ad metric request_count earliest_residual_z -0.42 peak_residual_z 2.34 rank 5 service email metric request_count earliest_residual_z -0.43 peak_residual_z 2.72
S01_ad_high_cpu_run_04,S01_ad_high_cpu,ad,cpu_usage,ad,cpu_usage,ad,cpu_usage,9654.70627595,ad,cpu_usage,2041.32618276,cart/request_count;frontend/request_count;ad/request_count;recommendation/request_count;email/request_count,-10.8m;-10.8m;-10.8m;-10.8m;-10.8m,incident_id S01_ad_high_cpu_run_04 family_id S01_ad_high_cpu region eu slot_top_service ad slot_top_metric cpu_usage slot_top_delta_pct +122492.19% slot_top_residual_z 9654.71 change_start_service ad change_start_metric cpu_usage change_start_offset -10.7m change_start_delta_pct +25898.93% change_start_residual_z 2041.33 sequence_rank1_service cart sequence_rank1_metric request_count sequence_rank1_offset -10.8m sequence_rank2_service frontend sequence_rank2_metric request_count sequence_rank2_offset -10.8m sequence_rank3_service ad sequence_rank3_metric request_count sequence_rank3_offset -10.8m sequence_rank4_service recommendation sequence_rank4_metric request_count sequence_rank4_offset -10.8m sequence_rank5_service email sequence_rank5_metric request_count sequence_rank5_offset -10.8m slot_rank1_service ad slot_rank1_metric cpu_usage slot_rank2_service email slot_rank2_metric latency_p95 slot_rank3_service recommendation slot_rank3_metric latency_p95 slot_rank4_service ad slot_rank4_metric latency_p95 slot_rank5_service cart slot_rank5_metric latency_p95,rank 1 service cart metric request_count earliest_residual_z -0.42 peak_residual_z 4.75 rank 2 service frontend metric request_count earliest_residual_z -0.42 peak_residual_z 4.73 rank 3 service ad metric request_count earliest_residual_z -0.42 peak_residual_z 5.32 rank 4 service recommendation metric request_count earliest_residual_z -0.42 peak_residual_z 4.62 rank 5 service email metric request_count earliest_residual_z -0.42 peak_residual_z 5.54
S01_ad_high_cpu_run_05,S01_ad_high_cpu,ad,cpu_usage,ad,cpu_usage,ad,cpu_usage,9107.76591114,ad,cpu_usage,148.400684406,ad/cpu_usage;cart/request_count;frontend/request_count;recommendation/request_count;ad/request_count,-10.8m;-10.8m;-10.8m;-10.8m;-10.8m,incident_id S01_ad_high_cpu_run_05 family_id S01_ad_high_cpu region us slot_top_service ad slot_top_metric cpu_usage slot_top_delta_pct +119977.98% slot_top_residual_z 9107.77 change_start_service ad change_start_metric cpu_usage change_start_offset -10.8m change_start_delta_pct +1954.90% change_start_residual_z 148.40 sequence_rank1_service ad sequence_rank1_metric cpu_usage sequence_rank1_offset -10.8m sequence_rank2_service cart sequence_rank2_metric request_count sequence_rank2_offset -10.8m sequence_rank3_service frontend sequence_rank3_metric request_count sequence_rank3_offset -10.8m sequence_rank4_service recommendation sequence_rank4_metric request_count sequence_rank4_offset -10.8m sequence_rank5_service ad sequence_rank5_metric request_count sequence_rank5_offset -10.8m slot_rank1_service ad slot_rank1_metric cpu_usage slot_rank2_service recommendation slot_rank2_metric latency_p95 slot_rank3_service email slot_rank3_metric latency_p95 slot_rank4_service ad slot_rank4_metric latency_p95 slot_rank5_service cart slot_rank5_metric latency_p95,rank 1 service ad metric cpu_usage earliest_residual_z 148.40 peak_residual_z 9107.77 rank 2 service cart metric request_count earliest_residual_z -0.41 peak_residual_z 2.76 rank 3 service frontend metric request_count earliest_residual_z -0.41 peak_residual_z 2.54 rank 4 service recommendation metric request_count earliest_residual_z -0.41 peak_residual_z 2.59 rank 5 service ad metric request_count earliest_residual_z -0.41 peak_residual_z 2.43
S01_ad_high_cpu_run_06,S01_ad_high_cpu,ad,cpu_usage,ad,cpu_usage,ad,cpu_usage,10343.4406397,ad,cpu_usage,108.790037981,ad/cpu_usage;cart/request_count;frontend/request_count;recommendation/request_count;recommendation/dependency_error_ratio,-10.8m;-10.8m;-10.8m;-10.8m;-10.8m,incident_id S01_ad_high_cpu_run_06 family_id S01_ad_high_cpu region us slot_top_service ad slot_top_metric cpu_usage slot_top_delta_pct +141347.93% slot_top_residual_z 10343.44 change_start_service ad change_start_metric cpu_usage change_start_offset -10.8m change_start_delta_pct +1486.67% change_start_residual_z 108.79 sequence_rank1_service ad sequence_rank1_metric cpu_usage sequence_rank1_offset -10.8m sequence_rank2_service cart sequence_rank2_metric request_count sequence_rank2_offset -10.8m sequence_rank3_service frontend sequence_rank3_metric request_count sequence_rank3_offset -10.8m sequence_rank4_service recommendation sequence_rank4_metric request_count sequence_rank4_offset -10.8m sequence_rank5_service recommendation sequence_rank5_metric dependency_error_ratio sequence_rank5_offset -10.8m slot_rank1_service ad slot_rank1_metric cpu_usage slot_rank2_service recommendation slot_rank2_metric latency_p95 slot_rank3_service ad slot_rank3_metric latency_p95 slot_rank4_service email slot_rank4_metric latency_p95 slot_rank5_service cart slot_rank5_metric latency_p95,rank 1 service ad metric cpu_usage earliest_residual_z 108.79 peak_residual_z 10343.44 rank 2 service cart metric request_count earliest_residual_z 2.68 peak_residual_z 5.59 rank 3 service frontend metric request_count earliest_residual_z 2.70 peak_residual_z 5.40 rank 4 service recommendation metric request_count earliest_residual_z 2.70 peak_residual_z 5.66 rank 5 service recommendation metric dependency_error_ratio earliest_residual_z 10.63 peak_residual_z 10.63
S01_ad_high_cpu_run_07,S01_ad_high_cpu,ad,cpu_usage,ad,cpu_usage,ad,cpu_usage,14756.9363788,ad,cpu_usage,125.124127867,ad/cpu_usage;cart/request_count;frontend/request_count;ad/request_count;recommendation/request_count,-10.8m;-10.8m;-10.8m;-10.8m;-10.8m,incident_id S01_ad_high_cpu_run_07 family_id S01_ad_high_cpu region us slot_top_service ad slot_top_metric cpu_usage slot_top_delta_pct +143182.51% slot_top_residual_z 14756.94 change_start_service ad change_start_metric cpu_usage change_start_offset -10.8m change_start_delta_pct +1214.05% change_start_residual_z 125.12 sequence_rank1_service ad sequence_rank1_metric cpu_usage sequence_rank1_offset -10.8m sequence_rank2_service cart sequence_rank2_metric request_count sequence_rank2_offset -10.8m sequence_rank3_service frontend sequence_rank3_metric request_count sequence_rank3_offset -10.8m sequence_rank4_service ad sequence_rank4_metric request_count sequence_rank4_offset -10.8m sequence_rank5_service recommendation sequence_rank5_metric request_count sequence_rank5_offset -10.8m slot_rank1_service ad slot_rank1_metric cpu_usage slot_rank2_service ad slot_rank2_metric latency_p95 slot_rank3_service recommendation slot_rank3_metric latency_p95 slot_rank4_service cart slot_rank4_metric latency_p95 slot_rank5_service email slot_rank5_metric latency_p95,rank 1 service ad metric cpu_usage earliest_residual_z 125.12 peak_residual_z 14756.94 rank 2 service cart metric request_count earliest_residual_z -0.39 peak_residual_z 2.46 rank 3 service frontend metric request_count earliest_residual_z -0.39 peak_residual_z 2.34 rank 4 service ad metric request_count earliest_residual_z -0.38 peak_residual_z 2.37 rank 5 service recommendation metric request_count earliest_residual_z -0.38 peak_residual_z 2.33
S01_ad_high_cpu_run_08,S01_ad_high_cpu,ad,cpu_usage,ad,cpu_usage,ad,cpu_usage,13840.7008247,ad,cpu_usage,34.1852084876,ad/cpu_usage;cart/request_count;frontend/request_count;product-catalog/request_count;email/request_count,-10.8m;-10.8m;-10.8m;-10.8m;-10.8m,incident_id S01_ad_high_cpu_run_08 family_id S01_ad_high_cpu region eu slot_top_service ad slot_top_metric cpu_usage slot_top_delta_pct +141862.00% slot_top_residual_z 13840.70 change_start_service ad change_start_metric cpu_usage change_start_offset -10.8m change_start_delta_pct +350.39% change_start_residual_z 34.19 sequence_rank1_service ad sequence_rank1_metric cpu_usage sequence_rank1_offset -10.8m sequence_rank2_service cart sequence_rank2_metric request_count sequence_rank2_offset -10.8m sequence_rank3_service frontend sequence_rank3_metric request_count sequence_rank3_offset -10.8m sequence_rank4_service product-catalog sequence_rank4_metric request_count sequence_rank4_offset -10.8m sequence_rank5_service email sequence_rank5_metric request_count sequence_rank5_offset -10.8m slot_rank1_service ad slot_rank1_metric cpu_usage slot_rank2_service ad slot_rank2_metric latency_p95 slot_rank3_service cart slot_rank3_metric latency_p95 slot_rank4_service recommendation slot_rank4_metric latency_p95 slot_rank5_service product-catalog slot_rank5_metric latency_p95,rank 1 service ad metric cpu_usage earliest_residual_z 34.19 peak_residual_z 13840.70 rank 2 service cart metric request_count earliest_residual_z -0.25 peak_residual_z 5.55 rank 3 service frontend metric request_count earliest_residual_z -0.25 peak_residual_z 5.24 rank 4 service product-catalog metric request_count earliest_residual_z -0.25 peak_residual_z 7.16 rank 5 service email metric request_count earliest_residual_z -0.25 peak_residual_z 9.07
S01_ad_high_cpu_run_09,S01_ad_high_cpu,ad,cpu_usage,ad,cpu_usage,ad,cpu_usage,18400.6827949,ad,cpu_usage,76.290889598,ad/cpu_usage;cart/request_count;frontend/request_count;product-catalog/request_count;recommendation/request_count,-10.8m;-10.8m;-10.8m;-10.8m;-10.8m,incident_id S01_ad_high_cpu_run_09 family_id S01_ad_high_cpu region us slot_top_service ad slot_top_metric cpu_usage slot_top_delta_pct +146058.12% slot_top_residual_z 18400.68 change_start_service ad change_start_metric cpu_usage change_start_offset -10.8m change_start_delta_pct +605.57% change_start_residual_z 76.29 sequence_rank1_service ad sequence_rank1_metric cpu_usage sequence_rank1_offset -10.8m sequence_rank2_service cart sequence_rank2_metric request_count sequence_rank2_offset -10.8m sequence_rank3_service frontend sequence_rank3_metric request_count sequence_rank3_offset -10.8m sequence_rank4_service product-catalog sequence_rank4_metric request_count sequence_rank4_offset -10.8m sequence_rank5_service recommendation sequence_rank5_metric request_count sequence_rank5_offset -10.8m slot_rank1_service ad slot_rank1_metric cpu_usage slot_rank2_service ad slot_rank2_metric latency_p95 slot_rank3_service product-catalog slot_rank3_metric latency_p95 slot_rank4_service email slot_rank4_metric latency_p95 slot_rank5_service cart slot_rank5_metric latency_p95,rank 1 service ad metric cpu_usage earliest_residual_z 76.29 peak_residual_z 18400.68 rank 2 service cart metric request_count earliest_residual_z -0.40 peak_residual_z 2.64 rank 3 service frontend metric request_count earliest_residual_z -0.39 peak_residual_z 2.55 rank 4 service product-catalog metric request_count earliest_residual_z -0.36 peak_residual_z 2.85 rank 5 service recommendation metric request_count earliest_residual_z -0.39 peak_residual_z 2.67
S01_ad_high_cpu_run_10,S01_ad_high_cpu,ad,cpu_usage,ad,cpu_usage,ad,cpu_usage,15315.5184384,ad,cpu_usage,11.4719350447,ad/cpu_usage;kafka/queue_lag;frontend/request_count;cart/request_count;ad/request_count,-10.8m;-10.8m;-10.8m;-10.8m;-10.8m,incident_id S01_ad_high_cpu_run_10 family_id S01_ad_high_cpu region us slot_top_service ad slot_top_metric cpu_usage slot_top_delta_pct +129237.35% slot_top_residual_z 15315.52 change_start_service ad change_start_metric cpu_usage change_start_offset -10.8m change_start_delta_pct +96.80% change_start_residual_z 11.47 sequence_rank1_service ad sequence_rank1_metric cpu_usage sequence_rank1_offset -10.8m sequence_rank2_service kafka sequence_rank2_metric queue_lag sequence_rank2_offset -10.8m sequence_rank3_service frontend sequence_rank3_metric request_count sequence_rank3_offset -10.8m sequence_rank4_service cart sequence_rank4_metric request_count sequence_rank4_offset -10.8m sequence_rank5_service ad sequence_rank5_metric request_count sequence_rank5_offset -10.8m slot_rank1_service ad slot_rank1_metric cpu_usage slot_rank2_service ad slot_rank2_metric latency_p95 slot_rank3_service recommendation slot_rank3_metric latency_p95 slot_rank4_service product-catalog slot_rank4_metric latency_p95 slot_rank5_service email slot_rank5_metric latency_p95,rank 1 service ad metric cpu_usage earliest_residual_z 11.47 peak_residual_z 15315.52 rank 2 service kafka metric queue_lag earliest_residual_z 6.11 peak_residual_z 6.11 rank 3 service frontend metric request_count earliest_residual_z -0.39 peak_residual_z 2.34 rank 4 service cart metric request_count earliest_residual_z -0.39 peak_residual_z 2.25 rank 5 service ad metric request_count earliest_residual_z -0.38 peak_residual_z 2.72
