case_id,family_id,metric_row_index,change_order_rank,is_dominant,is_earliest,service,metric_family,earliest_offset_min,peak_offset_min,baseline_mean,baseline_std,earliest_value,earliest_delta_pct,earliest_residual_z,peak_value,peak_delta,peak_delta_pct,peak_residual_z,sustained_trigger_points,rank_score
S01_ad_high_cpu_run_01,S01_ad_high_cpu,1,1,true,true,ad,cpu_usage,-9.500,-2.500,0.00248051658052,0.000296407265236,0.17465659205,6941.13785899,580.876704666,2.76301065437,2.76053013779,111288.517862,9313.30119588,57,14
S01_ad_high_cpu_run_01,S01_ad_high_cpu,2,,false,false,ad,memory_usage,,-8.333,246476156.184,12323807.8092,,,,251703296,5227139.81572,2.1207486747,0.424149734939,0,0.083274731293
S01_ad_high_cpu_run_01,S01_ad_high_cpu,3,,false,false,ad,pod_restart_count,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,4,,false,false,ad,pod_running_count,,-9.500,3,0.15,,,,3,0,0,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,5,,false,false,cart,cpu_usage,-7.667,-0.500,0.0334512831626,0.00666837024091,0.0266634614059,-20.2916633233,-1.01791314991,0.0259781381569,-0.00747314500568,-22.3403836838,-1.12068537524,3,0.825253823203
S01_ad_high_cpu_run_01,S01_ad_high_cpu,6,,false,false,cart,memory_usage,,-0.167,59050766.5691,2952538.32846,,,,59441152,390385.430894,0.661101376961,0.132220275392,0,0.025959247402
S01_ad_high_cpu_run_01,S01_ad_high_cpu,7,,false,false,cart,pod_restart_count,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,8,,false,false,cart,pod_running_count,,-9.500,1,0.05,,,,1,0,0,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,9,,false,false,checkout,cpu_usage,-9.333,-0.167,0.00932172098766,0.00349250134214,0.011658212487,25.0650228906,0.669002319672,0.0150719384634,0.00575021747573,61.686221711,1.64644674759,43,1.33749734668
S01_ad_high_cpu_run_01,S01_ad_high_cpu,10,,false,false,checkout,memory_usage,,-2.000,11684333.9621,1809103.16588,,,,12054528,370194.03794,3.16829388087,0.204628483838,0,0.0428925841784
S01_ad_high_cpu_run_01,S01_ad_high_cpu,11,,false,false,checkout,pod_restart_count,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,12,,false,false,checkout,pod_running_count,,-9.500,3,0.15,,,,3,0,0,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,13,,false,false,email,cpu_usage,-7.500,-7.000,0.00415441833425,0.0010397124782,0.0051350909802,23.6055343261,0.943215231616,0.00567017957412,0.00151576123987,36.485522591,1.45786577698,8,1.10571668626
S01_ad_high_cpu_run_01,S01_ad_high_cpu,14,,false,false,email,memory_usage,,-7.500,57439706.5366,2871985.32683,,,,57315328,-124378.536585,-0.216537555787,-0.0433075111573,0,0.00850270802389
S01_ad_high_cpu_run_01,S01_ad_high_cpu,15,,false,false,email,pod_restart_count,,-9.500,0,1e-06,,,,0,0,,0,0,0
