case_id,raw_metrics_file,raw_file_size_bytes,raw_rows,timestamp_count,service_count,instance_count,metric_family_count,source_metric_count,first_timestamp,last_timestamp,metric_window_start_ts,metric_window_end_ts,anchor_ts,metric_families,source_metrics
S01_ad_high_cpu_run_01,raw/metrics_long.csv,2565212,24221,180,9,56,10,10,1776309669.828,1776311459.828,1776309669.83,1776311469.83,1776311469.83,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S01_ad_high_cpu_run_02,raw/metrics_long.csv,2645845,24848,180,9,57,10,10,1776353221.779,1776355011.779,1776353221.78,1776355021.78,1776355021.78,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S01_ad_high_cpu_run_03,raw/metrics_long.csv,2652041,24906,180,9,57,10,10,1776355579.881,1776357369.881,1776355569.88,1776357369.88,1776357369.88,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S01_ad_high_cpu_run_04,raw/metrics_long.csv,2461609,23115,180,9,54,10,10,1776441304.389,1776443094.389,1776441304.39,1776443104.39,1776443104.39,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S01_ad_high_cpu_run_05,raw/metrics_long.csv,2461152,23111,180,9,54,10,10,1776445331.418,1776447121.418,1776445331.42,1776447131.42,1776447131.42,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S01_ad_high_cpu_run_06,raw/metrics_long.csv,2467985,23170,180,9,54,10,10,1776503125.244,1776504915.244,1776503115.24,1776504915.24,1776504915.24,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S01_ad_high_cpu_run_07,raw/metrics_long.csv,2468445,23173,180,9,54,10,10,1776505821.947,1776507611.947,1776505811.95,1776507611.95,1776507611.95,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S01_ad_high_cpu_run_08,raw/metrics_long.csv,2691089,24883,180,9,58,10,10,1776585550.164,1776587340.164,1776585540.16,1776587340.16,1776587340.16,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S01_ad_high_cpu_run_09,raw/metrics_long.csv,2727808,25191,180,9,58,10,10,1776588240.707,1776590030.707,1776588240.71,1776590040.71,1776590040.71,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S01_ad_high_cpu_run_10,raw/metrics_long.csv,2721270,25134,180,9,58,10,10,1776590970.029,1776592760.029,1776590970.03,1776592770.03,1776592770.03,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S02_payment_failure_run_01,raw/metrics_long.csv,2584666,24382,180,9,56,10,10,1776312071.949,1776313861.949,1776312061.95,1776313861.95,1776313861.95,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S02_payment_failure_run_02,raw/metrics_long.csv,2310121,21717,180,9,52,10,10,1776380095.142,1776381885.142,1776380085.14,1776381885.14,1776381885.14,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S02_payment_failure_run_03,raw/metrics_long.csv,2473845,23207,180,9,54,10,10,1776425010.664,1776426800.664,1776425000.66,1776426800.66,1776426800.66,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S02_payment_failure_run_04,raw/metrics_long.csv,2469910,23172,180,9,54,10,10,1776448097.972,1776449887.972,1776448087.97,1776449887.97,1776449887.97,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S02_payment_failure_run_05,raw/metrics_long.csv,2436708,23087,180,9,54,10,10,1776508525.05,1776510315.05,1776508525.05,1776510325.05,1776510325.05,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S02_payment_failure_run_06,raw/metrics_long.csv,2456607,23063,180,9,54,10,10,1776511274.403,1776513064.403,1776511274.4,1776513074.4,1776513074.4,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S02_payment_failure_run_07,raw/metrics_long.csv,2727661,25175,180,9,58,10,10,1776593681.214,1776595471.214,1776593671.21,1776595471.21,1776595471.21,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
