service,runtime_profile_cases,profile_names,scaled_to_three_replicas,desired_replicas_values,available_replicas_values,ready_replicas_values,updated_replicas_values
accounting,192,benchmark_major_replica3,false,1,0;1,0;1,1
ad,192,benchmark_major_replica3,true,3,3,3,3
cart,192,benchmark_major_replica3,false,1,1,1,1
checkout,192,benchmark_major_replica3,true,3,3,3,3
currency,192,benchmark_major_replica3,false,1,1,1,1
email,192,benchmark_major_replica3,true,3,3,3,3
flagd,192,benchmark_major_replica3,false,1,1,1,1
fraud-detection,192,benchmark_major_replica3,false,1,1,1,1
frontend,192,benchmark_major_replica3,true,3,3,3,3
frontend-proxy,192,benchmark_major_replica3,false,1,1,1,1
grafana,192,benchmark_major_replica3,false,1,1,1,1
image-provider,192,benchmark_major_replica3,false,1,1,1,1
jaeger,192,benchmark_major_replica3,false,1,0;1,0;1,1
kafka,192,benchmark_major_replica3,false,1,1,1,1
llm,192,benchmark_major_replica3,false,1,1,1,1
load-generator,192,benchmark_major_replica3,false,1,1,1,1
payment,192,benchmark_major_replica3,true,3,3,3,3
postgresql,192,benchmark_major_replica3,false,1,1,1,1
product-catalog,192,benchmark_major_replica3,true,3,3,3,3
product-reviews,192,benchmark_major_replica3,false,1,1,1,1
prometheus,192,benchmark_major_replica3,false,1,1,1,1
quote,192,benchmark_major_replica3,false,1,1,1,1
recommendation,192,benchmark_major_replica3,true,3,3,3,3
shipping,192,benchmark_major_replica3,false,1,1,1,1
valkey-cart,192,benchmark_major_replica3,false,1,1,1,1
