dataset,retriever,representation,case_id,candidate_count,picked_case_id,top_score,family_hit,first_service_hit,sre_first_service_hit,service_metric_hit
Triage-Field,TF-IDF,alert_message_only,O01,29,O03,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O02,29,O19,0.717332,false,false,false,not_scored
Triage-Field,TF-IDF,alert_message_only,O03,29,O01,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O04,29,O29,0.472619,false,false,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O05,29,O01,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O06,29,O01,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O07,29,O01,1.000000,true,true,false,not_scored
Triage-Field,TF-IDF,alert_message_only,O08,29,O01,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O09,29,O01,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O10,29,O12,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O11,29,O10,0.690545,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O12,29,O10,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O13,29,O10,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O14,29,O21,1.000000,false,false,false,not_scored
Triage-Field,TF-IDF,alert_message_only,O15,29,O16,0.743598,true,true,false,not_scored
Triage-Field,TF-IDF,alert_message_only,O16,29,O15,0.743598,true,true,false,not_scored
Triage-Field,TF-IDF,alert_message_only,O17,29,O10,0.298536,false,false,false,not_scored
Triage-Field,TF-IDF,alert_message_only,O18,29,O14,0.642044,false,true,false,not_scored
Triage-Field,TF-IDF,alert_message_only,O19,29,O25,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O20,29,O15,0.544259,false,false,false,not_scored
Triage-Field,TF-IDF,alert_message_only,O21,29,O14,1.000000,false,false,false,not_scored
Triage-Field,TF-IDF,alert_message_only,O22,29,O23,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O23,29,O22,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O24,29,O22,1.000000,false,false,false,not_scored
Triage-Field,TF-IDF,alert_message_only,O25,29,O19,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O26,29,O14,1.000000,false,false,false,not_scored
Triage-Field,TF-IDF,alert_message_only,O27,29,O19,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O28,29,O14,1.000000,false,false,false,not_scored
Triage-Field,TF-IDF,alert_message_only,O29,29,O18,0.543197,false,false,true,not_scored
Triage-Field,TF-IDF,alert_message_only,O30,29,O10,0.554772,false,false,false,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O01,29,O02,0.631980,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O02,29,O01,0.631980,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O03,29,O06,0.739586,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O04,29,O29,0.367221,false,false,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O05,29,O08,0.714032,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O06,29,O03,0.739586,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O07,29,O09,0.831565,true,true,false,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O08,29,O05,0.714032,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O09,29,O07,0.831565,true,true,false,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O10,29,O11,0.830461,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O11,29,O10,0.830461,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O12,29,O01,0.483806,false,false,false,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O13,29,O10,0.778465,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O14,29,O26,0.765431,false,false,false,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O15,29,O16,0.591433,true,true,false,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O16,29,O15,0.591433,true,true,false,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O17,29,O21,0.538508,false,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O18,29,O20,0.544686,false,false,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O19,29,O06,0.391400,false,false,false,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O20,29,O18,0.544686,false,false,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O21,29,O28,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O22,29,O23,0.560277,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O23,29,O22,0.560277,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O24,29,O07,0.561992,false,false,false,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O25,29,O27,0.655428,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O26,29,O14,0.765431,false,false,false,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O27,29,O25,0.655428,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O28,29,O21,1.000000,true,true,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O29,29,O18,0.397990,false,false,true,not_scored
Triage-Field,TF-IDF,through_earliest_abnormal,O30,29,O05,0.398011,false,false,false,not_scored
Triage-Field,TF-IDF,four_field_with_order,O01,29,O02,0.746915,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O02,29,O01,0.746915,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O03,29,O02,0.706069,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O04,29,O01,0.396071,true,true,false,not_scored
Triage-Field,TF-IDF,four_field_with_order,O05,29,O07,0.711930,true,true,false,not_scored
Triage-Field,TF-IDF,four_field_with_order,O06,29,O03,0.534490,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O07,29,O05,0.711930,true,true,false,not_scored
Triage-Field,TF-IDF,four_field_with_order,O08,29,O05,0.518577,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O09,29,O07,0.650463,true,true,false,not_scored
Triage-Field,TF-IDF,four_field_with_order,O10,29,O11,0.763120,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O11,29,O10,0.763120,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O12,29,O10,0.524472,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O13,29,O11,0.655246,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O14,29,O10,0.559789,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O15,29,O16,0.365181,true,true,false,not_scored
Triage-Field,TF-IDF,four_field_with_order,O16,29,O15,0.365181,true,true,false,not_scored
Triage-Field,TF-IDF,four_field_with_order,O17,29,O21,0.433944,false,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O18,29,O25,0.401586,false,false,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O19,29,O09,0.355583,false,false,false,not_scored
Triage-Field,TF-IDF,four_field_with_order,O20,29,O24,0.495905,false,false,false,not_scored
Triage-Field,TF-IDF,four_field_with_order,O21,29,O28,0.682350,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O22,29,O23,0.494481,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O23,29,O24,0.547232,false,false,false,not_scored
Triage-Field,TF-IDF,four_field_with_order,O24,29,O23,0.547232,false,false,false,not_scored
Triage-Field,TF-IDF,four_field_with_order,O25,29,O22,0.456601,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O26,29,O28,0.497934,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O27,29,O20,0.430104,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O28,29,O21,0.682350,true,true,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O29,29,O18,0.396378,false,false,true,not_scored
Triage-Field,TF-IDF,four_field_with_order,O30,29,O22,0.403029,true,true,true,not_scored
Triage-Bench,TF-IDF,alert_message_only,S01_ad_high_cpu_run_01,199,S01_ad_high_cpu_run_07,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S01_ad_high_cpu_run_02,199,S01_ad_high_cpu_run_05,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S01_ad_high_cpu_run_03,199,S01_ad_high_cpu_run_08,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S01_ad_high_cpu_run_04,199,S01_ad_high_cpu_run_05,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S01_ad_high_cpu_run_05,199,S01_ad_high_cpu_run_02,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S01_ad_high_cpu_run_06,199,S01_ad_high_cpu_run_07,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S01_ad_high_cpu_run_07,199,S01_ad_high_cpu_run_06,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S01_ad_high_cpu_run_08,199,S01_ad_high_cpu_run_03,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S01_ad_high_cpu_run_09,199,S01_ad_high_cpu_run_10,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S01_ad_high_cpu_run_10,199,S01_ad_high_cpu_run_02,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_01,199,S02_payment_failure_run_07,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_02,199,S02_payment_failure_run_08,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_03,199,S02_payment_failure_run_01,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_04,199,S10_productcatalog_failure_run_11,,false,false,,false
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_05,199,S02_payment_failure_run_03,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_06,199,S10_productcatalog_failure_run_11,,false,false,,false
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_07,199,S02_payment_failure_run_14,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_08,199,S02_payment_failure_run_07,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_09,199,S02_payment_failure_run_17,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_10,199,S02_payment_failure_run_16,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_14,199,S02_payment_failure_run_09,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_15,199,S02_payment_failure_run_14,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_16,199,S02_payment_failure_run_17,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S02_payment_failure_run_17,199,S02_payment_failure_run_03,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_01,199,S03_checkout_pod_kill_run_04,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_02,199,S03_checkout_pod_kill_run_08,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_03,199,S03_checkout_pod_kill_run_02,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_04,199,S03_checkout_pod_kill_run_14,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_05,199,S03_checkout_pod_kill_run_02,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_06,199,S03_checkout_pod_kill_run_17,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_07,199,S03_checkout_pod_kill_run_02,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_08,199,S03_checkout_pod_kill_run_14,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_09,199,S03_checkout_pod_kill_run_16,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_10,199,S03_checkout_pod_kill_run_17,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_14,199,S03_checkout_pod_kill_run_08,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_15,199,S03_checkout_pod_kill_run_16,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_16,199,S03_checkout_pod_kill_run_10,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S03_checkout_pod_kill_run_17,199,S03_checkout_pod_kill_run_06,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S04_productcatalog_network_delay_run_01,199,S04_productcatalog_network_delay_run_07,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S04_productcatalog_network_delay_run_02,199,S10_productcatalog_failure_run_13,,false,true,,false
Triage-Bench,TF-IDF,alert_message_only,S04_productcatalog_network_delay_run_03,199,S04_productcatalog_network_delay_run_06,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S04_productcatalog_network_delay_run_04,199,S10_productcatalog_failure_run_23,,false,true,,false
Triage-Bench,TF-IDF,alert_message_only,S04_productcatalog_network_delay_run_05,199,S04_productcatalog_network_delay_run_08,,true,true,,true
Triage-Bench,TF-IDF,alert_message_only,S04_productcatalog_network_delay_run_06,199,S04_productcatalog_network_delay_run_13,,true,true,,true
