case_public_id,condition,self_excluded,returned_case_public_id,returned_family_public_id,returned_first_service_alias,family_hit,first_service_hit,true_family_in_top3,top3_family_public_ids,service_metric_hit,tie_policy
O01,four_field_with_order,true,O02,F01,S03,true,true,true,F01;F01;F01,not_scored,fixed_tie_break
O02,four_field_with_order,true,O01,F01,S03,true,true,true,F01;F01;F01,not_scored,fixed_tie_break
O03,four_field_with_order,true,O02,F01,S03,true,true,true,F01;F01;F01,not_scored,fixed_tie_break
O04,four_field_with_order,true,O01,F01,S03,true,true,true,F01;F01;F01,not_scored,fixed_tie_break
O05,four_field_with_order,true,O07,F01,S03,true,true,true,F01;F01;F01,not_scored,fixed_tie_break
O06,four_field_with_order,true,O03,F01,S03,true,true,true,F01;F01;F01,not_scored,fixed_tie_break
O07,four_field_with_order,true,O05,F01,S03,true,true,true,F01;F01;F01,not_scored,fixed_tie_break
O08,four_field_with_order,true,O05,F01,S03,true,true,true,F01;F01;F01,not_scored,fixed_tie_break
O09,four_field_with_order,true,O07,F01,S03,true,true,true,F01;F01;F01,not_scored,fixed_tie_break
O10,four_field_with_order,true,O11,F02,S01,true,true,true,F02;F02;F02,not_scored,fixed_tie_break
O11,four_field_with_order,true,O10,F02,S01,true,true,true,F02;F02;F02,not_scored,fixed_tie_break
O12,four_field_with_order,true,O10,F02,S01,true,true,true,F02;F02;F02,not_scored,fixed_tie_break
O13,four_field_with_order,true,O11,F02,S01,true,true,true,F02;F02;F02,not_scored,fixed_tie_break
O14,four_field_with_order,true,O10,F02,S01,true,true,true,F02;F02;F02,not_scored,fixed_tie_break
O15,four_field_with_order,true,O16,F03,S04,true,true,true,F03;F01;F06,not_scored,fixed_tie_break
O16,four_field_with_order,true,O15,F03,S04,true,true,true,F03;F07;F04,not_scored,fixed_tie_break
O17,four_field_with_order,true,O21,F05,S04,false,true,false,F05;F05;F03,not_scored,fixed_tie_break
O18,four_field_with_order,true,O25,F04,S05,false,false,false,F04;F08;F04,not_scored,fixed_tie_break
O19,four_field_with_order,true,O09,F01,S03,false,false,false,F01;F02;F02,not_scored,fixed_tie_break
O20,four_field_with_order,true,O24,F05,S04,false,false,true,F05;F05;F04,not_scored,fixed_tie_break
O21,four_field_with_order,true,O28,F05,S04,true,true,true,F05;F05;F06,not_scored,fixed_tie_break
O22,four_field_with_order,true,O23,F04,S05,true,true,true,F04;F04;F04,not_scored,fixed_tie_break
O23,four_field_with_order,true,O24,F05,S04,false,false,true,F05;F04;F04,not_scored,fixed_tie_break
O24,four_field_with_order,true,O23,F04,S05,false,false,true,F04;F04;F05,not_scored,fixed_tie_break
O25,four_field_with_order,true,O22,F04,S05,true,true,true,F04;F04;F07,not_scored,fixed_tie_break
O26,four_field_with_order,true,O28,F05,S04,true,true,true,F05;F04;F05,not_scored,fixed_tie_break
O27,four_field_with_order,true,O20,F04,S05,true,true,true,F04;F04;F02,not_scored,fixed_tie_break
O28,four_field_with_order,true,O21,F05,S04,true,true,true,F05;F05;F06,not_scored,fixed_tie_break
O29,four_field_with_order,true,O18,F07,S01,false,false,false,F07;F01;F04,not_scored,fixed_tie_break
O30,four_field_with_order,true,O22,F04,S05,true,true,true,F04;F01;F01,not_scored,fixed_tie_break
